time,TT_mean,Scenario
13:25:00,48.45725235,ARM On: Mar-Apr 2023
13:30:00,48.6129701,ARM On: Mar-Apr 2023
13:35:00,48.75182683,ARM On: Mar-Apr 2023
13:40:00,49.42536575,ARM On: Mar-Apr 2023
13:45:00,50.08664471,ARM On: Mar-Apr 2023
13:50:00,50.27034855,ARM On: Mar-Apr 2023
13:55:00,50.38052297,ARM On: Mar-Apr 2023
14:00:00,50.36909337,ARM On: Mar-Apr 2023
14:05:00,50.2387756,ARM On: Mar-Apr 2023
14:10:00,50.68514477,ARM On: Mar-Apr 2023
14:15:00,51.28304361,ARM On: Mar-Apr 2023
14:20:00,51.46262589,ARM On: Mar-Apr 2023
14:25:00,51.22656167,ARM On: Mar-Apr 2023
14:30:00,51.01162286,ARM On: Mar-Apr 2023
14:35:00,51.33986825,ARM On: Mar-Apr 2023
14:40:00,52.24741293,ARM On: Mar-Apr 2023
14:45:00,53.70569595,ARM On: Mar-Apr 2023
14:50:00,54.70111879,ARM On: Mar-Apr 2023
14:55:00,54.93825888,ARM On: Mar-Apr 2023
15:00:00,54.46792142,ARM On: Mar-Apr 2023
15:05:00,54.27613709,ARM On: Mar-Apr 2023
15:10:00,55.15186187,ARM On: Mar-Apr 2023
15:15:00,55.53052056,ARM On: Mar-Apr 2023
15:20:00,55.57902776,ARM On: Mar-Apr 2023
15:25:00,55.57520439,ARM On: Mar-Apr 2023
15:30:00,55.80553545,ARM On: Mar-Apr 2023
15:35:00,55.95099796,ARM On: Mar-Apr 2023
15:40:00,57.65246832,ARM On: Mar-Apr 2023
15:45:00,59.18956423,ARM On: Mar-Apr 2023
15:50:00,60.76047666,ARM On: Mar-Apr 2023
15:55:00,60.93460858,ARM On: Mar-Apr 2023
16:00:00,61.07416179,ARM On: Mar-Apr 2023
16:05:00,61.02341948,ARM On: Mar-Apr 2023
16:10:00,61.98711486,ARM On: Mar-Apr 2023
16:15:00,64.18522544,ARM On: Mar-Apr 2023
16:20:00,65.05405871,ARM On: Mar-Apr 2023
16:25:00,64.25329896,ARM On: Mar-Apr 2023
16:30:00,63.4343098,ARM On: Mar-Apr 2023
16:35:00,63.47860689,ARM On: Mar-Apr 2023
16:40:00,64.08129218,ARM On: Mar-Apr 2023
16:45:00,65.15848517,ARM On: Mar-Apr 2023
16:50:00,65.9777363,ARM On: Mar-Apr 2023
16:55:00,65.25495918,ARM On: Mar-Apr 2023
17:00:00,63.79076303,ARM On: Mar-Apr 2023
17:05:00,62.58396322,ARM On: Mar-Apr 2023
17:10:00,63.79935512,ARM On: Mar-Apr 2023
17:15:00,65.22506162,ARM On: Mar-Apr 2023
17:20:00,67.26794254,ARM On: Mar-Apr 2023
17:25:00,67.57507359,ARM On: Mar-Apr 2023
17:30:00,67.63285376,ARM On: Mar-Apr 2023
17:35:00,66.42675833,ARM On: Mar-Apr 2023
